RP,IN,61
NNS,RP,2
RBR,VB,3
NN,CD,53
JJ,PRP$,102
RB,WP,37
JJ,RBR,5
EX,JJ,4
VBG,VBG,11
NN,RBS,2
VBD,RB,341
VBD,CC,249
PRP,VBN,31
NNS,PDT,1
CC,EX,26
RBR,VBG,5
VBZ,CD,7
PRP$,JJR,5
VBP,PRP$,181
VBP,PRP,452
NN,DT,1692
JJ,JJ,500
JJS,NN,116
JJS,VBG,7
VBG,WP$,1
PRP,JJS,16
VB,TO,105
CC,VBZ,123
VBP,VBP,44
JJ,VBN,188
JJS,VBN,10
WP$,JJS,1
MD,TO,17
WRB,JJR,1
JJR,IN,125
VBG,JJ,121
VBP,JJ,483
VBP,RBR,8
MD,VBZ,6
RBS,PRP,1
IN,VBP,21
VBN,WP$,3
RB,DT,502
RBR,NNS,6
RBR,NN,15
VBG,JJS,2
RP,JJ,14
EX,VBD,26
WDT,TO,13
PRP$,WRB,4
VBN,MD,14
WRB,RB,93
CD,PRP,5
RB,JJR,58
WP,TO,10
RB,TO,200
VBZ,NN,311
VBD,RP,29
JJ,VBG,16
WP,PRP,97
RB,NNS,90
VBG,PRP$,77
DT,VBN,410
TO,CC,9
VBD,DT,530
RBS,VBN,2
VBD,RBR,1
RP,CC,17
VBZ,NNP,1
NN,WP,154
NNP,IN,6
NN,JJR,29
WDT,-NONE-,6
IN,-NONE-,1
WP,VBG,25
WDT,JJS,3
-NONE-,JJS,4
VBZ,RP,13
JJR,NN,103
VB,MD,19
CC,NN,1732
NNP,NNS,16
VBZ,JJS,14
RB,WP$,1
VBP,VBD,18
VBN,RP,44
VBZ,VBP,23
JJS,VBZ,4
WP,IN,77
PRP$,WP,3
TO,PRP,148
NNS,RBR,14
RBS,VBG,1
PRP$,PRP$,11
JJ,JJR,2
VBD,WP,23
TO,WRB,6
WDT,VBN,32
WRB,VBD,25
IN,NNS,1341
RB,RBR,58
VBP,CD,16
RB,CC,225
VBN,VBP,18
VBG,WDT,5
CD,RB,12
CD,PRP$,3
WRB,CD,5
CD,MD,9
NNP,RB,5
NNP,JJS,1
PRP,RBR,1
VBZ,WP$,1
NNS,RBS,4
PRP$,RBS,4
JJS,PRP,13
WRB,WRB,1
VBZ,-NONE-,2
JJ,DT,396
RP,DT,38
MD,CC,13
DT,WRB,16
TO,JJR,19
WRB,PRP,269
JJS,MD,3
NNS,JJS,8
RB,NNP,2
JJS,CC,14
WP,PRP$,10
VBG,VBN,43
VB,RBS,2
NN,PRP$,590
VB,VB,47
CC,TO,84
-NONE-,JJ,4
NN,VBD,1632
WDT,JJ,35
CC,MD,95
IN,JJ,2653
WP,CC,2
VBZ,VBD,6
NNS,EX,12
NN,VBZ,1369
-NONE-,VBP,8
WDT,VBP,49
NNS,VBN,157
VBN,VBD,10
IN,WP$,31
WRB,PDT,1
CD,WP,29
WP,VBP,62
WRB,VBP,49
NN,MD,562
PDT,JJ,2
VB,VBG,16
VB,WP,23
DT,CC,39
VBZ,NNS,46
VB,PRP$,283
WRB,TO,14
PDT,VBN,1
RP,NNS,8
CC,PRP$,160
IN,CC,108
NNS,DT,708
JJR,VBD,1
WP,VB,4
WP,DT,54
TO,IN,4
PRP,VBD,1228
NNS,VBG,209
PRP,WRB,36
PRP,NNP,1
VBN,-NONE-,20
JJR,CC,21
VB,JJS,2
VBP,CC,261
PRP,CD,20
NN,CC,2424
NN,NNS,2539
RP,VBG,3
DT,VB,7
NN,-NONE-,7
VBG,VBZ,9
RP,RB,13
NNP,VBZ,5
MD,JJS,1
EX,TO,2
WP,JJR,6
JJR,VBG,7
PDT,NN,5
-NONE-,RBS,1
JJS,EX,1
VBD,PRP,438
VBD,CD,28
VBD,MD,25
WDT,EX,3
WP$,NN,75
NNS,CD,20
NN,WP$,55
VBZ,WDT,4
WP,JJS,3
CC,WRB,126
RBR,PRP,12
JJ,EX,9
IN,VBZ,54
