FAWN	F AO N
LIGHT'S	L AY T S
PLOT	P L AA T
BUDDING	B AH D IH NG
WOULD	W UH D
RECURED	R IY S Y ER D
WORLD'S	W ER L D Z
JUNES	JH UW N Z
MUSIC	M Y UW Z IH K
THEREFORE	DH EH R F AO R
SURVIVE	S ER V AY V
GILDING	G IH L D IH NG
TELL	T EH L
BREATHE	B R IY DH
LEESE	L IY S
UNBLESS	AH N B L EH S
HOLY	HH OW L IY
WARY	W EH R IY
WARY(2)	W EHRIY
BRINGS	B R IH NG Z
MUSE	M Y UW Z
HEREIN	HH IH R IH N
GRIEF	G R IY F
GLASS	G L AE S
WARM	W AO R M
EXCELLENT	EH K S AH L AH N T
ROBBING	R AA B IH NG
WARD	W AO R D
HOLD	HH OW L D
STRIVING	S T R AY V IH NG
MUST	M AH S T
ME	M IY
LOCKED	L AA K T
ROOM	R UW M
ERR	EH R
ERR(2)	ER
RIGHTS	R AY T S
WORK	W ER K
ECLIPSE	IH K L IH P S
ECLIPSE(2)	AH K L IH P S
ECLIPSE(3)	IY K L IH P S
ROOF	R UW F
ROOF(2)	R UH F
MEADOWS	M EH D OW Z
ERE	EH R
LEAPED	L EH P T
LEAPED(2)	L IY P T
REVENUES	R EH V AH N UW Z
REVENUES(2)	R EH V AH N Y UW Z
MY	M AY
EXAMPLE	IH G Z AE M P AH L
LODGED	L AA JH D
PHRASE	F R EY Z
SUBTLETIES	S AH T AH L T IY Z
FRESHER	F R EH SH ER
WANE	W EY N
UNJUST	AH N JH AH S T
HONEY	HH AH N IY
FOIST	F OY S T
KINGDOMS	K IH NG D AH M Z
RESPOSE	R EY Z P OW Z
TIMES	T AY M Z
WORSE	W ER S
CEREMONY	S EH R AH M OW N IY
CONSUM'ST	K AA N S AH M S T
GUSTS	G AH S T S
PROVIDE	P R AH V AY D
DIGNIFIES	D IH G N AH F AY Z
TRAVEL	T R AE V AH L
INDIRECTLY	IH N D ER EH K T L IY
FEATURE	F IY CH ER
WIGHTS	W AY T S
FAR	F AA R
HOT	HH AA T
WRITERS	R AY T ER Z
ANSWER	AE N S ER
GATE	G EY T
DIGNIFIED	D IH G N AH F AY D
BLANKS	B L AE NG K S
BEAUTY	B Y UW T IY
AFTER	AE F T ER
WRONG	R AO NG
LAY	L EY
LAP	L AE P
WRONK	R AO NG K
THIRD	TH ER D
RUD'ST	R AH D S T
REVOLT	R IH V OW L T
REVOLT(2)	R IY V OW L T
GREET	G R IY T
PURGING	P ER JH IH NG
WINK	W IH NG K
MAINTAIN	M EY N T EY N
HASTE	HH EY S T
KEEPS	K IY P S
ALACK	AH L AE K
WOULDST	W OW L D S T
WIND	W AY N D
WIND(2)	W IH N D
DETERMINATE	D IH T ER M AH N EY T
COUPLEMENT	K AH P AH L M AH N T
UNTOLD	AH N T OW L D
OFFICE	AO F AH S
CONSENT	K AH N S EH N T
OVER	OW V ER
PROFANED	P R OW F EY N D
SICKLY	S IH K L IY
FORTIFY	F AO R T IH F AY
GHASTLY	G AE S T L IY
STRANGLE	S T R AE NG G AH L
BESTOW'ST	B IH S T OW S T
WROUGHT	R AO T
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
BETTER	B EH T ER
FADE	F EY D
CARVE	K AA R V
HIDDEN	HH IH D AH N
SAVOUR	S AE V AH R
THEN	DH EH N
THEM	DH EH M
THEM(2)	DH AH M
BLOTS	B L AA T S
ENRICH	EH N R IH CH
ENRICH(2)	IH N R IH CH
THEE	DH IY
TRUTH'S	T R UW TH S
BREAK	B R EY K
WINTER'S	W IH N T ER Z
DISEASED	D IH Z IY Z D
THEY	DH EY
GLAZED	G L EY Z D
GLAZED(2)	G L EY Z ED
ONE	W AH N
ONE(2)	HH W AH N
SILVER	S IH L V ER
PRIZE	P R AY Z
SHADOWS	SH AE D OW Z
RHETORIC	R EH T ER IH K
BRIGHTNESS	B R AY T N AH S
SLAVERY	S L EY V ER IY
ROCKS	R AA K S
HERALD	HH EH R AH L D
VICTORIES	V IH K T ER IY Z
VICTORIES(2)	V IH K T R IY Z
NEEDING	N IY D IH NG
EACH	IY CH
WANTONLY	W AO N T AH N L IY
WANTONLY(2)	W AA N T AH N L IY
DULNESS	D AH L N AH S
WENT	W EH N T
SIDE	S AY D
LUCK	L AH K
WOES	W OW Z
CONCORD	K AA N K AO R D
CONCORD(2)	K AA N K ER D
'WILL'	W IH L
TAUGHT	T AO T
FORGOT	F ER G AA T
FORGOT(2)	F AO R G AA T
MISPRISION	M IH S P R IH ZH AH N
WHIT	W IH T
WHIT(2)	HH W IH T
TRUANT	T R UW AH N T
ARRAY	ER EY
BORNE	B AO R N
CONTEND	K AH N T EH N D
LARGE	L AA R JH
DECREE	D IH K R IY
VADE	V EY D
SANG	S AE NG
GOD	G AA D
FORTY	F AO R T IY
RUN'ST	R AH N S T
CONTENT	K AA N T EH N T
CONTENT(2)	K AH N T EH N T
RE	R EY
RE(2)	R IY
LAID	L EY D
HEAVENLY	HH EH V AH N L IY
HEAVENLY(2)	HH EHVAH N L IY
GOT	G AA T
MARIGOLD	M EH R AH G OW L D
FORTH	F AO R TH
PRIZING	P R AY Z IH NG
ASSURED	AH SH UH R D
ASSURED(2)	AH SH UH R ED
FADETH	F EY D IH TH
HANG	HH AE NG
DECEIVED	D IH S IY V D
ETERNAL	IH T ER N AH L
ETERNAL(2)	IY T ER N AH L
GIVEN	G IH V AH N
GIVEN(2)	G IH V IH N
GIVEN(3)	G IHVIH N
FREE	F R IY
MOURNING	M AO R N IH NG
MISTAKING	M IH S T EY K IH NG
BESTOW	B IH S T OW
WHEREUPON	W EH R AH P AA N
WHEREUPON(2)	HH W EH R AH P AA N
EVIL	IY V AH L
CROWNED	K R AW N D
CROWNED(2)	K R AW N ED
MISTRESS	M IH S T R AH S
KNIT	N IH T
WANTONNESS	W AO N T AH N AH S
RECEIV'ST	R AH S IY V S T
CREATED	K R IY EY T AH D
CREATED(2)	K R IY EY T IH D
DAYS	D EY Z
SUE	S UW
BEARS	B EH R Z
RENEW	R IH N UW
TEMPTING	T EH M P T IH NG
UNKNOWN	AH N N OW N
POTIONS	P OW SH AH N Z
LOUD	L AW D
RUINATE	R UW AH N AH T
USER	Y UW Z ER
SEPARABLE	S EH P ER AH B AH L
UNTUTORED	AH N T UW T ER D
ALREADY	AO L R EH D IY
ALREADY(2)	AO R EH D IY
CROWNING	K R AW N IH NG
HEARSAY	HH IY R S EY
'GREEING	G R IY AH NG
RANK	R AE NG K
HEARING	HH IY R IH NG
JEALOUS	JH EH L AH S
FEATURED	F IY CH ER D
ANOTHER	AH N AH DH ER
SOBER	S OW B ER
FILCHING	F IH L CH IH NG
EXCHEQUER	EH K S CH EH K ER
USURER	Y UW ZH ER ER
TOP	T AA P
TOP(2)	T AO P
HAWKS	HH AO K S
MILLIONED	M IH L Y AH N D
MASTER	M AE S T ER
TOO	T UW
DWELL	D W EH L
BITTER	B IH T ER
SAITH	S EY TH
BROILS	B R OY L Z
GRIEFS	G R IY F S
TOOK	T UH K
WISDOM	W IH Z D AH M
WARDROBE	W AO R D R OW B
YOUTH'S	Y UW TH S
CHARACTER	K EH R IH K T ER
BEGINS	B IH G IH N Z
DISTANCE	D IH S T AH N S
HERE'S	HH IH R Z
COWARD	K AW ER D
MOTHER'S	M AH DH ER Z
BITTERNESS	B IH T ER N AH S
IDLY	AY D L IY
MATTER	M AE T ER
IDLE	AY D AH L
TITLES	T AY T AH L Z
FLAME	F L EY M
FRIEND	F R EH N D
DESERVING	D IH Z ER V IH NG
ASKANCE	AH S K AE N S
KNIGHTS	N AY T S
BEARD	B IH R D
POWERS	P AWER Z
FASHION	F AE SH AH N
SEES	S IY Z
HUE	HH Y UW
MIND'S	M AY N D Z
MODERN	M AA D ER N
MIND	M AY N D
MINE	M AY N
SPENT	S P EH N T
MANNER	M AE N ER
AMISS	AH M IH S
BEWAILED	B IH W EY L D
BEWAILED(2)	B IH W EY L ED
DESERV'ST	D AH S AH R V S T
CHURL	CH AH R L
SEEM	S IY M
SEEK	S IY K
TELLS	T EH L Z
CONTENTS	K AA N T EH N T S
CONTENTS(2)	K AH N T EH N T S
PRAISING	P R EY Z IH NG
STRENGTH	S T R EH NG K TH
STRENGTH(2)	S T R EH NG TH
NECK	N EH K
SNOW	S N OW
SOUND	S AW N D
CHEST	CH EH S T
SUBJECTS	S AH B JH IH K T S
SUBJECTS(2)	S AH B JH EH K T S
SUBJECTS(3)	S AH B JH EH K S
LAUGHED	L AE F T
PILGRIMAGE	P IH L G R AH M AH JH
PILGRIMAGE(2)	P IH L G R AH M IH JH
RIDER	R AY D ER
AGGRAVATE	AE G R AH V EY T
MAIDEN	M EY D AH N
THOUGH	DH OW
OBJECT	AA B JH EH K T
OBJECT(2)	AH B JH EH K T
DIAL	D AY AH L
DIAL(2)	D AY L
JUSTIFY	JH AH S T AH F AY
DULLING	D AH L IH NG
ERRORS	EH R ER Z
ASHES	AE SH IH Z
DISARMED	D IH S AA R M D
GRAVE	G R EY V
SHALT	SH AE L T
CONSTANCY	K AA N S T AH N S IY
CONSUMED	K AH N S UW M D
FLOW	F L OW
BREATHES	B R IY DH Z
STEELED	S T IY L D
POINTS	P OY N T S
BREATHED	B R IY DH D
WRECKED	R EH K T
FITTED	F IH T AH D
FITTED(2)	F IH T IH D
RESERVE	R IH Z ER V
RESERVE(2)	R IY Z ER V
WILD	W AY L D
RENEWED	R IH N UW D
RENEWED(2)	R IY N UW D
BAIT	B EY T
OATHS	OW DH Z
OATHS(2)	OW TH S
ENJOYER	EH N JH OY ER
ENDING	EH N D IH NG
POISON	P OY Z AH N
EARTH	ER TH
BAIL	B EY L
ENJOYED	EH N JH OY D
BEARER	B EH R ER
TOUCHES	T AH CH AH Z
TOUCHES(2)	T AH CH IH Z
COPY	K AA P IY
PROPOSED	P R AH P OW Z D
SPITE	S P AY T
HERSELF	HH ER S EH L F
CUPID	K Y UW P IH D
BLISS	B L IH S
TOUCHED	T AH CH T
RICH	R IH CH
PURSUING	P ER S UW IH NG
MEND	M EH N D
'THOU	TH UW
BORROWED	B AA R OW D
DO	D UW
BLENCHES	B L EH N CH AH Z
FORSWORN	F AO R S W AO R N
'I	IY
KINDLING	K IH N D L IH NG
STOP	S T AA P
PERCEIVE	P ER S IY V
LEISURE	L EH ZH ER
LEISURE(2)	L IY ZH ER
RAIMENT	R EY M AH N T
GORED	G AO R D
BOOTLESS	B UW T L AH S
SPIRIT	S P IH R AH T
SPIRIT(2)	S P IH R IH T
SPIRIT(3)	S P IHRIH T
DESPITE	D IH S P AY T
REPORT	R IY P AO R T
REPORT(2)	R IH P AO R T
SATURN	S AE T ER N
SEEMLY	S IY M L IY
RUNS	R AH N Z
INCREASING	IH N K R IY S IH NG
BAR	B AA R
EXCHANGED	IH K S CH EY N JH D
BESEEM	B IH S IY M
THRUSTS	TH R AH S T S
DOTING	D OW T IH NG
TWICE	T W AY S
EYELIDS	AY L IH D Z
ESTEEMING	IH S T IY M IH NG
HASTEN	HH EY S AH N
STEAL	S T IY L
FARTHER	F AA R DH ER
UNPROVIDENT	AH N P R AH V AY D AH N T
PENANCE	P EH N AH N S
WOND'RING	W AA N D R AH NG
UNRESPECTED	AH N R IH S P EH K T IH D
FAIR	F EH R
HABIT	HH AE B AH T
IMITATE	IH M AH T EY T
PROCLAIMS	P R OW K L EY M Z
DEPENDS	D IH P EH N D Z
CORRUPT	K ER AH P T
BEST	B EH S T
SUBJECT	S AH B JH EH K T
SUBJECT(2)	S AH B JH IH K T
SAID	S EH D
TEMPTATION	T EH M T EY SH AH N
BETT'RING	B EH T R AH NG
AWAY	AH W EY
SAIL	S EY L
BIER	B IY R
MADDING	M AE D IH NG
MUD	M AH D
SCORE	S K AO R
FINGER	F IH NG G ER
PEBBLED	P EH B AH L D
SCORN	S K AO R N
DRAWN	D R AO N
ENLIGHTEN	EH N L AY T AH N
PRESERVE	P R AH Z ER V
PRESERVE(2)	P R IH Z ER V
PRESERVE(3)	P R IY Z ER V
WARRIOR	W AO R IY ER
WARRIOR(2)	W AO R Y ER
WE	W IY
MEN	M EH N
TERMS	T ER M Z
PARALLELS	P EH R AH L EH L Z
NATURE	N EY CH ER
WEAK	W IY K
IGNORANCE	IH G N ER AH N S
AUTHORIZING	AO TH ER AY Z IH NG
DISDAINETH	D IH S D EY N IH TH
WEAR	W EH R
DIEST	D AY AH S T
NEWS	N UW Z
NEWS(2)	N Y UW Z
DEBT	D EH T
TEMPESTS	T EH M P AH S T S
PITY	P IH T IY
FOES	F OW Z
GODDESS	G AA D AH S
ACCIDENT	AE K S AH D AH N T
DISDAIN	D IH S D EY N
FAULT	F AO L T
ILL	IH L
AGAINST	AH G EH N S T
AGAINST(2)	AH G EY N S T
BRAG	B R AE G
RECEIVES	R AH S IY V Z
RECEIVES(2)	R IH S IY V Z
RECEIVES(3)	R IY S IY V Z
FACES	F EY S AH Z
FACES(2)	F EY S IH Z
EXCEEDS	IH K S IY D Z
EXPENSE	IH K S P EH N S
GROANS	G R OW N Z
ASKED	AE S K T
ASKED(2)	AE S T
SUGGEST	S AH JH EH S T
VEXED	V EH K S T
HONOURING	AA N ER IH NG
BURTHEN	B AH R TH AH N
HEIGHT	HH AY T
HERS	HH ER Z
PRONE	P R OW N
OBLIVIOUS	AH B L IH V IY AH S
TRUST	T R AH S T
HEALS	HH IY L Z
SPEAK	S P IY K
YELLOWED	Y EH L OW D
UNHAPPILY	AH N HH AE P AH L IY
PUTS	P UH T S
EAGER	IY G ER
CONDEMNED	K AH N D EH M D
THREE	TH R IY
BEEN	B IH N
BEEN(2)	B AH N
PARTICULARS	P ER T IH K Y AH L ER Z
TWAIN	T W EY N
MUCH	M AH CH
INTEREST	IH N T AH R EH S T
INCERTAINTY	IH N S ER T AH N T IY
PRIVILEGE	P R IH V IH L IH JH
VERMILION	V ER M IH L Y AH N
LOVELY	L AH V L IY
THRICE	TH R AY S
IDOL	AY D AH L
THREW	TH R UW
LIFE	L AY F
BRAV'RY	B R AE V R IY
EASY	IY Z IY
ERRED	EH R D
DRUGS	D R AH G Z
MALADIES	M AE L AH D IY Z
DECREPIT	D AH K R EH P IH T
DOTE	D OW T
CHILD	CH AY L D
CATCH	K AE CH
DOTH	D AO TH
ERST	AH R S T
GRACIOUS	G R EY SH AH S
PHYSICIAN	F AH Z IH SH AH N
EAST	IY S T
AIR	EH R
LESSER	L EH S ER
UGLY	AH G L IY
NEAR	N IH R
SUPPOSE	S AH P OW Z
AID	EY D
VOICE	V OY S
WEAKENS	W IY K AH N Z
PLAYED	P L EY D
IS	IH Z
IT	IH T
DEFEATED	D IH F IY T AH D
DEFEATED(2)	D IH F IY T IH D
SHAME	SH EY M
SPLENDOUR	S P L EH N D AH R
WATCHING	W AA CH IH NG
IN	IH N
BOUNTEOUS	B AW N T IYAH S
IF	IH F
GROWN	G R OW N
WOOING	W UW IH NG
MEMORIAL	M AH M AO R IY AH L
AWAKES	AH W EY K S
COOLS	K UW L Z
PATENT	P AE T AH N T
THINGS	TH IH NG Z
MAKE	M EY K
WOUND	W AW N D
WOUND(2)	W UW N D
LORDS'	L AO R D Z
BESIDE	B IH S AY D
BESIDE(2)	B IY S AY D
BOSOMS	B UH Z AH M Z
PATIENT	P EY SH AH N T
TH'	T YY CH
SEVERAL	S EH V ER AH L
SEVERAL(2)	S EH V ERAH L
GROWS	G R OW Z
ENTITLED	EH N T AY T AH L D
LUSTY	L AH S T IY
FAIRLY	F EH R L IY
TOPS	T AA P S
RAIN	R EY N
HAND	HH AE N D
DELIGHT	D IH L AY T
SUPPOSING	S AH P OW Z IH NG
DARK	D AA R K
BEQUEST	B IH K W EH S T
BLAMED	B L EY M D
THOUGHTS	TH AO T S
CENSURES	S EH N CH ER Z
KEPT	K EH P T
KEPT(2)	K AE P T
THY	DH AY
SINGLENESS	S IH NG G AH L N AH S
SWEETNESS	S W IY T N AH S
POSSESSED	P AH Z EH S T
HUMBLE	HH AH M B AH L
INHERIT	IH N HH EH R AH T
OCEAN	OW SH AH N
RAGGED	R AE G AH D
FULNESS	F UH L N AH S
GREATEST	G R EY T AH S T
INCAPABLE	IH N K EY P AH B AH L
MOTHER	M AH DH ER
HEARTS	HH AA R T S
THE	DH AH
THE(2)	DH IY
CURE	K Y UH R
YOURS	Y UH R Z
YOURS(2)	Y AO R Z
YOURS(3)	Y ER Z
LEFT	L EH F T
REEKS	R IY K S
JUST	JH AH S T
JUST(2)	JH IH S T
WASTEFUL	W EY S T F AH L
YEA	Y EY
POET'S	P OW AH T S
UNFAIR	AH N F EH R
UNFAIR(2)	AO N F EH R
REPOSE	R IY P OW Z
VERSES	V ER S IH Z
MAKETH	M EY K IH TH
THANKS	TH AE NG K S
SWEARS	S W EH R Z
PROGNOSTICATE	P R AA G N AA S T AH K EY T
PLIGHT	P L AY T
YET	Y EH T
SUCCEEDING	S AH K S IY D IH NG
VICES	V AY S AH Z
VICES(2)	V AY S IH Z
ADDING	AE D IH NG
DEARER	D IH R ER
COMPEERS	K AH M P IH ER Z
STRAINS	S T R EY N Z
HAD	HH AE D
COUNTED	K AW N T IH D
PRESAGERS	P R EH S IH JH ER Z
ALCHEMY	AE L K AH M IY
BELONGS	B IH L AO NG Z
BELOVED	B IH L AH V D
BELOVED(2)	B IH L AH V AH D
PRISON	P R IH Z AH N
HAP	HH AE P
PITIFUL	P IH T AH F AH L
SAVE	S EY V
GAVE	G EY V
OTHERS'	AH DH ER Z
DIGNITY	D IH G N AH T IY
SPACIOUS	S P EY SH AH S
REVIEWEST	R IY V Y UW AH S T
BIRTH	B ER TH
WANTING	W AA N T IH NG
WANTING(2)	W AA N IH NG
SHADOW	SH AE D OW
DREAMS	D R IY M Z
PICTURE'S	P IH K CH ER Z
DESIRE	D IH Z AYER
BROUGHT	B R AO T
APPEARING	AH P IH R IH NG
FEED'ST	F IY D S T
GIFT	G IH F T
VILEST	V IH L AH S T
OFFICES	AO F AH S AH Z
OFFICES(2)	AO F AH S IH Z
NIGHT	N AY T
HUNG	HH AH NG
ANTIQUE	AE N T IY K
RIGHT	R AY T
OLD	OW L D
FLATTER	F L AE T ER
WAR'S	W AO R Z
DEAF	D EH F
DEAD	D EH D
BORN	B AO R N
DEAR	D IH R
ALTERED	AO L T ER D
BORE	B AO R
GUESS	G EH S
CREEP	K R IY P
ENEMIES	EH N AH M IY Z
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
PURPLE	P ER P AH L
BOSOM'S	B UH Z AH M Z
REHEARSE	R IY HH ER S
COMMENTS	K AA M EH N T S
FOE	F OW
DENIED	D IH N AY D
BOLD	B OW L D
BURN	B ER N
DIVINING	D AH V AY N IH NG
SHIFTING	SH IH F T IH NG
LOSING	L UW Z IH NG
TAKER	T EY K ER
PEEP	P IY P
DISDAINS	D IH S D EY N Z
SHAKEN	SH EY K AH N
PROCEED	P R AH S IY D
PROCEED(2)	P R OW S IY D
PROCEED(3)	P ER S IY D
THEIRS	DH EH R Z
CORAL	K AO R AH L
HAPLY	HH AE P L IY
FRAILER	F R EY L ER
O	OW
COSTS	K AA S T S
COSTS(2)	K AO S T S
DESPAIR	D IH S P EH R
PLUS	P L AH S
FELT	F EH L T
CHERISH	CH EH R IH SH
COMMIT	K AH M IH T
LACKED	L AE K T
BATH	B AE TH
RAISED	R EY Z D
FAINT	F EY N T
PRESENCE	P R EH Z AH N S
CIVIL	S IH V AH L
PAYS	P EY Z
NOUGHT	N AO T
BOUND	B AW N D
SON	S AH N
DOWN	D AW N
LIES	L AY Z
REFINED	R AH F AY N D
REFINED(2)	R IH F AY N D
REFINED(3)	R IH F AY N ED
POUR'ST	P AH R S T
METHODS	M EH TH AH D Z
STRANGELY	S T R EY N JH L IY
DESPISED	D IH S P AY Z D
JEALOUSY	JH EH L AH S IY
SOVEREIGN	S AA V R AH N
FIGHT	F AY T
VIRGIN	V ER JH IH N
WAY	W EY
CALL	K AO L
WAS	W AA Z
WAR	W AO R
HAPPY	HH AE P IY
HEAD	HH EH D
FARING	F EH R IY NG
FORM	F AO R M
STATUTE	S T AE CH UW T
CROWN	K R AW N
BECOMING	B IH K AH M IH NG
FORGETFUL	F AO R G EH T F AH L
FORGETFUL(2)	F ER G EH T F AH L
FORE	F AO R
BACK	B AE K
HEINOUS	HH EY N AH S
PRICKED	P R IH K T
HEAT	HH IY T
HEAR	HH IY R
ODOURS	OW D ER S
LEARNED	L ER N D
LEARNED(2)	L ER N IH D
ASTONISHED	AH S T AA N IH SH T
BLINDNESS	B L AY N D N AH S
REMOVED	R IY M UW V D
TRUE	T R UW
DEEPEST	D IY P AH S T
ABSENT	AE B S AH N T
LILIES	L IH L IY Z
CAPTIVE	K AE P T IH V
EXTREMITY	EH K S T R EH M AH T IY
FOR'T	F AO R T
BIDS	B IH D Z
UNTIL	AH N T IH L
CRYSTAL	K R IH S T AH L
UNFATHERED	AH N F AA DH ER D
ADORE	AH D AO R
ANEW	AH N UW
ANEW(2)	AH N Y UW
ENGRAFT	EH N G R AE F T
BIDE	B AY D
LATCH	L AE CH
TRIM	T R IH M
DISGRACE	D IH S G R EY S
ORNAMENTS	AO R N AH M AH N T S
FURY	F Y UH R IY
SINFUL	S IH N F AH L
BEAUTY'S	B Y UW T IY Z
HUNGRY	HH AH NG G R IY
HUSWIFE	HH AH S W AY F
SOMETIME	S AH M T AY M
SUBSIST	S AH B S IH S T
SHINES	SH AY N Z
FACE	F EY S
INJURIOUS	IH N JH UH R IY AH S
INJURIOUS(2)	IH N JH UH R IYAH S
POSTING	P OW S T IH NG
WILLINGLY	W IH L IH NG L IY
LOOKED	L UH K T
INFLAMING	IH N F L EY M IH NG
DYING	D AY IH NG
NO	N OW
EXCEL	IH K S EH L
LOV'ST	L AA V S T
ACTOR	AE K T ER
THRIFTLESS	TH R IH F T L AH S
DESPISING	D IH S P AY Z IH NG
FALSELY	F AO L S L IY
PAPERS	P EY P ER Z
TIE	T AY
VANISHED	V AE N IH SH T
SMELL	S M EH L
ETERNITY	IH T ER N AH T IY
ETERNITY(2)	IY T ER N AH T IY
PICTURE	P IH K CH ER
INTEND	IH N T EH N D
PHOENIX	F IY N IH K S
PYRAMIDS	P IH R AH M IH D Z
DIES	D AY Z
WELCOME	W EH L K AH M
JOURNEY	JH ER N IY
REIGN	R EY N
ROLLING	R OW L IH NG
PIERCED	P IH R S T
SEEING	S IY IH NG
DIED	D AY D
WRACKFUL	R AE K F AH L
LONGER	L AO NG G ER
BLUSHING	B L AH SH IH NG
DAILY	D EY L IY
CHEATER	CH IY T ER
TEETH	T IY TH
DIAN'S	D AY AH N Z
LAWS	L AO Z
RESTORED	R IH S T AO R D
SONGS	S AO NG Z
WHOEVER	HH UW EH V ER
VARYING	V EH R IY IH NG
PERCEIV'ST	P AH R S IY V S T
SOULS	S OW L Z
INVENT	IH N V EH N T
ENGRAFTED	EH N G R AE F T IH D
LEADS	L IY D Z
CONTINUAL	K AH N T IH N Y UW AH L
CONTINUAL(2)	K AH N T IH N Y UWAH L
SLANDERED	S L AE N D ER D
IDOLATRY	AY D AA L AH T R IY
ABUNDANT	AH B AH N D AH N T
RETENTION	R IY T EH N SH AH N
MOUNTED	M AW N T AH D
MOUNTED(2)	M AW N T IH D
MOUNTED(3)	M AW N IH D
PRAISES	P R EY Z IH Z
FATHER	F AA DH ER
CONFOUNDS	K AH N F AW N D Z
VEX	V EH K S
ANSWERED	AE N S ER D
CHARGE	CH AA R JH
PRAISED	P R EY Z D
SUFFERED	S AH F ER D
ADDETH	AE D IH TH
FURROWS	F ER OW Z
ABUNDANCE	AH B AH N D AH N S
STRUMPETED	S T R AH M P EH T IH D
STRING	S T R IH NG
ADVANTAGE	AE D V AE N T IH JH
DRUDGE	D R AH JH
FLEECE	F L IY S
VOTARY	V OW T EH R IY
MOURN	M AO R N
ADVISED	AE D V AY Z D
ADVISED(2)	AH D V AY Z D
WORD	W ER D
TROUBLE	T R AH B AH L
FEEBLE	F IY B AH L
COOL	K UW L
SOUL'S	S OW L Z
PERCEIVED	P ER S IY V D
CLOUDS	K L AW D Z
LEVEL	L EH V AH L
