RB, JJS, IN, 2
NNS, VBD, JJS, 2
VBZ, NN, VBZ, 7
VBP, IN, MD, 2
VBP, DT, JJ, 267
PRP$, JJ, NN, 1044
IN, EX, MD, 19
JJS, PRP$, NNS, 1
DT, NN, VBD, 2330
RB, WP, NNS, 4
WDT, RB, TO, 1
VBD, CD, NN, 34
RP, WDT, MD, 1
CC, JJ, NNP, 3
IN, CC, EX, 4
VBN, NN, VBD, 86
DT, VBZ, DT, 157
PDT, IN, RB, 1
PRP, MD, JJS, 2
EX, RB, VBD, 5
RB, PRP, VB, 14
VBG, CC, VBN, 2
VBD, NNS, NN, 26
VBP, JJR, JJ, 9
VBN, CC, VB, 11
VBD, PRP, JJS, 2
JJR, JJ, VBP, 1
IN, RB, NNP, 1
RB, VBP, VBG, 20
VBZ, RB, PRP, 10
IN, VB, JJ, 4
PRP, JJ, VBG, 5
PRP, PRP, DT, 1
DT, TO, PRP, 10
TO, RB, RB, 8
VBN, RB, IN, 310
JJ, NN, NN, 2245
VBP, NN, VB, 5
PRP, VBD, PRP, 919
RB, IN, VBG, 112
-NONE-, NN, PRP, 2
CC, NNP, IN, 2
PRP, DT, RBS, 5
VBD, JJS, TO, 1
WRB, VBG, PRP, 2
VBP, IN, WRB, 3
PRP$, VBG, JJ, 1
NNS, WRB, EX, 1
VBP, IN, EX, 7
WRB, NN, NN, 23
JJS, VBN, NNS, 4
NN, PRP, WRB, 9
VBP, VBG, PRP$, 8
VBD, VBN, RP, 133
VBD, NNP, NN, 30
PRP, CC, PRP$, 43
NNS, VBG, VBG, 5
NNS, NNS, MD, 13
RBS, IN, PRP$, 4
PRP, NN, RB, 13
CC, VBP, PRP$, 3
JJR, JJ, IN, 42
MD, RBR, RB, 1
JJS, VBZ, RP, 1
JJR, VBD, TO, 1
WDT, NN, WDT, 2
VBP, IN, TO, 6
MD, VB, MD, 6
RB, RB, PRP, 118
JJ, JJ, VBD, 5
TO, RBS, NNS, 1
NNP, NN, VBZ, 74
VBD, WRB, MD, 2
CC, NNP, NNP, 7
VBZ, EX, VBG, 1
VBP, VBG, JJ, 18
WRB, DT, NNS, 68
DT, NNP, VBZ, 17
NN, WDT, EX, 7
NNS, VBP, TO, 144
NNS, VBD, IN, 490
JJR, JJ, NNS, 46
TO, VB, VBP, 8
JJ, RB, CD, 4
TO, CD, CC, 5
CC, RB, JJS, 1
WRB, JJ, VBG, 2
IN, VBN, PRP, 32
RB, VBD, VBN, 78
WP, VBZ, NNS, 2
WDT, NNS, PRP, 3
WP$, NN, PRP, 9
IN, WDT, NN, 61
PRP, VB, CC, 11
NN, PRP, RP, 18
VBD, WP, DT, 11
VBD, VBN, WRB, 20
WP, VBN, NN, 9
NNS, DT, CD, 17
IN, IN, NN, 310
RB, NNS, VBZ, 2
NN, PRP, VBG, 11
NN, TO, JJS, 3
PRP$, IN, DT, 36
DT, JJ, EX, 4
VBN, RBR, RB, 12
CD, NN, VBP, 4
NN, NN, VBP, 97
VB, RP, VBG, 5
PRP, RP, NN, 1
NNS, NNS, VBN, 7
IN, PRP, WP, 15
JJS, VB, JJ, 2
CC, JJ, VB, 2
CD, VBD, VBN, 12
TO, RB, JJ, 13
PRP$, NN, TO, 301
NN, JJS, VBN, 3
TO, JJ, VBZ, 1
JJR, WP, PRP, 2
VB, WP, RB, 3
JJ, JJR, VB, 1
RB, EX, NN, 2
PRP, JJ, VBN, 3
WP, DT, CD, 1
WDT, VBN, CD, 2
VBP, RB, CC, 19
NN, WRB, CC, 1
VBG, VBZ, RB, 10
WDT, PRP, MD, 77
VBG, PRP, CC, 13
CC, CC, CC, 2
VB, NNS, VBD, 4
DT, RBR, VBD, 1
CC, VBN, VBD, 4
NNS, DT, WP, 5
NN, NN, JJS, 9
PRP, VB, PRP$, 20
WDT, VBZ, IN, 27
VBD, VBZ, CD, 2
JJ, JJ, JJR, 4
VBP, VBP, NNS, 3
WP, VBP, CC, 1
PRP, PRP$, JJ, 8
NNS, JJ, VBZ, 3
VBN, JJ, VBD, 1
JJR, IN, JJS, 1
RB, VB, TO, 158
JJ, NNS, TO, 268
CC, NN, VBD, 241
VB, IN, JJ, 233
VBN, DT, WP, 1
JJ, WRB, PRP$, 2
VB, NN, WP, 6
JJ, RP, CD, 1
VBP, PRP$, IN, 1
NNP, NNP, MD, 4
RP, IN, WDT, 1
JJ, VBP, WP, 1
JJ, VBD, PRP$, 6
PRP$, RB, VBG, 9
VBG, DT, JJS, 13
PRP, VBD, NNS, 116
WP, CC, WRB, 2
PRP$, VBD, TO, 1
VBZ, DT, NNP, 5
CC, PRP, PRP, 2
WRB, VBN, VBD, 7
WP, VBZ, IN, 30
VBP, IN, JJS, 3
NNS, VBZ, JJS, 2
WDT, JJR, NNS, 1
CC, WRB, NNP, 1
NNS, RB, DT, 79
CC, TO, RB, 3
VBD, VB, VBN, 6
VBP, NNS, DT, 8
JJ, WP, DT, 1
WRB, PRP, DT, 1
TO, VBZ, VBN, 1
JJS, RB, JJ, 5
DT, NNS, CD, 9
CC, VBG, WP, 2
JJ, VBN, CD, 1
PRP, VB, RP, 12
DT, VBN, CD, 3
IN, CC, WP, 3
CC, VBD, IN, 298
PRP, VBD, VBZ, 12
VB, PRP$, NN, 514
VBG, RBR, CC, 2
VBN, RBR, JJ, 9
PRP, VBP, VBN, 390
RB, WRB, PRP$, 5
VBN, RB, PRP$, 4
JJ, RP, PRP$, 1
NNS, VBZ, RBR, 1
WP, PRP, VBD, 177
VBD, NNS, PRP, 9
TO, JJ, JJ, 20
CC, VBD, VBG, 43
VBZ, RBR, VBG, 2
NNS, IN, DT, 3289
MD, CC, PRP, 5
RBS, NN, NNS, 1
CD, CD, TO, 2
RP, DT, NN, 301
DT, WDT, MD, 1
NNS, NN, IN, 143
RP, IN, IN, 15
RB, RB, VBP, 85
NN, NNS, DT, 274
NNP, NN, -NONE-, 1
VBG, JJ, JJ, 17
VBP, JJ, VBP, 3
NN, RBR, NNS, 2
NN, EX, CC, 2
NN, RB, NNP, 3
PRP$, TO, PRP, 3
-NONE-, NN, NN, 3
PRP, WDT, VBN, 1
VBP, DT, NNS, 144
-NONE-, RB, IN, 3
VB, JJ, EX, 1
RP, RB, WP, 1
RB, NNS, RBR, 1
DT, CC, PRP$, 2
VBN, CC, VBP, 6
IN, VBZ, CD, 1
CD, NNS, WP, 8
VBG, IN, WP, 7
CC, NNP, VB, 6
WP, -NONE-, VBG, 11
NNS, VBZ, NNP, 4
VBP, PRP, CC, 20
VBP, JJR, NNS, 8
VBG, RB, WRB, 6
VB, WP, MD, 6
NNP, NNP, CC, 9
VBP, PRP, NNS, 5
CC, VBP, CD, 1
VBG, NNS, IN, 183
NNS, RBR, VBD, 1
VB, IN, JJR, 20
RB, VBN, VBD, 19
CC, JJR, CC, 1
VBN, RB, TO, 56
VBN, WP$, JJ, 1
VBD, CC, VB, 11
PDT, VBN, IN, 3
NNP, JJ, VBZ, 1
VBG, NNS, PRP, 14
VBN, IN, JJR, 19
VBZ, JJR, PRP$, 1
PRP, NNP, NNS, 1
RBR, NNS, NNS, 1
VBD, JJ, NNP, 1
VBZ, JJR, IN, 31
RB, NNP, NNS, 3
CC, NNS, VBP, 107
PRP$, VB, CD, 1
RP, IN, VBD, 1
NN, VBD, DT, 1036
RBR, JJ, PRP, 4
WDT, VBP, JJS, 1
VBD, VBG, RBR, 2
NNP, VBZ, VBD, 3
RB, JJS, CC, 3
WP, JJ, DT, 2
VBG, RB, PRP, 10
RB, JJR, VBG, 7
VBG, NN, CC, 112
PRP$, RBS, VBN, 1
VBP, DT, VBZ, 1
VB, VB, TO, 6
CC, VBG, PRP$, 28
VBD, VBN, VBZ, 3
DT, IN, PRP$, 82
NN, IN, VB, 8
NN, CD, PRP, 4
NN, IN, WDT, 315
RBS, JJ, NN, 68
VBD, NNP, IN, 1
CC, VBD, VBN, 70
CC, CD, IN, 33
RBR, NN, RB, 2
VBZ, CC, MD, 2
VBP, NNS, TO, 12
CC, VBN, NNS, 31
VBD, RB, CD, 35
VBZ, EX, NN, 5
JJ, IN, MD, 6
NN, VB, CC, 2
RB, VBP, TO, 123
IN, VBG, JJR, 8
WP$, NN, RB, 1
VBN, PRP$, JJ, 51
JJ, WDT, NNS, 6
PRP, WP, VBN, 2
WRB, JJ, NN, 74
RB, DT, RBS, 26
PRP$, CC, NNP, 1
VB, VBN, VBZ, 2
DT, NNS, PRP$, 9
VBD, JJR, CD, 1
WP, VBN, CC, 1
PRP$, JJ, CD, 3
IN, MD, NNP, 1
VBZ, DT, MD, 1
NNS, VBG, VBZ, 2
VBD, JJ, RP, 1
NN, IN, VBG, 662
PRP$, PRP$, NN, 4
VBD, CC, NN, 54
CC, TO, NNS, 7
NN, VBG, WRB, 5
VBP, IN, WDT, 4
VBD, VBD, IN, 11
WDT, PRP, PRP, 1
NNP, VBP, VBG, 1
CD, VBN, CC, 5
PRP, VB, VBZ, 4
NN, NNS, NN, 206
DT, RBS, RB, 9
WDT, NNS, IN, 32
PRP, JJR, VBD, 1
CC, EX, MD, 5
NN, CD, VBN, 3
VBZ, WP, -NONE-, 4
NN, CC, NNS, 243
DT, VBZ, VBZ, 1
VBN, RB, -NONE-, 1
WRB, PRP, WRB, 1
NNP, NNP, RBS, 1
CC, VBP, TO, 6
CD, CD, CD, 3
PRP, VBG, PRP$, 6
VBZ, VBG, RBR, 4
NNS, NNS, TO, 21
MD, NN, RB, 1
DT, JJ, WDT, 15
PRP, VB, RB, 21
JJ, NN, VB, 31
-NONE-, NN, VBZ, 1
PRP, VBD, VBD, 51
VB, NNP, NNP, 5
RB, JJR, VBN, 6
JJ, PRP, VBZ, 51
PRP, VBN, IN, 7
PDT, VBN, NN, 1
WDT, VBZ, NN, 8
PRP$, NNS, VBZ, 21
DT, CC, JJ, 17
WRB, PRP, JJ, 1
DT, VB, VBD, 1
JJR, VBD, RB, 2
NNS, CC, IN, 239
PRP, MD, MD, 1
VBP, DT, RB, 34
RP, PRP$, JJ, 26
DT, NNS, TO, 167
JJ, DT, VB, 1
PRP, RB, VB, 233
JJ, NN, IN, 4844
PRP, IN, VBP, 1
PRP$, NNS, IN, 445
VBG, RP, TO, 15
PRP$, RB, IN, 3
NNS, PRP, RB, 51
JJS, PRP, VBD, 8
IN, WRB, PRP, 56
VBG, CD, JJ, 7
JJ, CC, IN, 100
PRP$, IN, TO, 2
RB, VBP, CD, 10
WP, NN, JJ, 1
JJ, RB, DT, 22
IN, CD, -NONE-, 1
WRB, DT, VBZ, 7
DT, VBZ, NNS, 1
WDT, JJR, RB, 1
JJ, RB, VBN, 55
WDT, JJ, NNS, 31
VBD, CD, WRB, 1
WP$, NN, IN, 4
JJ, VBD, JJS, 1
WP$, NN, VBZ, 13
NN, NN, WDT, 276
DT, EX, VBZ, 1
JJ, NNS, CD, 15
VBP, VBN, WDT, 1
DT, VBD, WRB, 10
RBR, VBN, TO, 3
JJR, NN, VBD, 24
CC, VB, JJR, 2
PRP$, VBG, DT, 1
MD, VB, VB, 76
NNS, DT, RBR, 9
RBR, VBP, VBN, 1
VBD, TO, NNP, 6
RBR, VBN, NNS, 2
MD, IN, PRP$, 5
CC, VBD, NN, 116
CC, VBN, NN, 54
VBG, EX, VBD, 3
WRB, IN, NN, 20
PRP, JJ, VB, 2
WRB, JJ, MD, 10
NN, NN, EX, 26
VBD, WRB, VBP, 2
VBP, JJ, PRP$, 4
NN, VBP, RP, 2
NNP, VBP, DT, 2
VBG, IN, EX, 2
VBN, JJ, NN, 188
WDT, CD, JJ, 1
WRB, NN, IN, 13
NNP, NNS, PRP, 2
VBZ, RP, VBP, 1
PRP$, NN, CD, 10
CC, DT, NNP, 12
CD, RB, JJ, 8
PRP$, VBD, DT, 2
RP, VBG, CD, 1
PRP, VBP, WRB, 38
WP, VBN, DT, 45
VBD, RB, RB, 380
NNS, VBG, WDT, 2
MD, CC, RBR, 1
TO, PRP$, PRP$, 1
VBG, VBN, JJ, 15
TO, NN, VBZ, 6
JJ, CC, VBG, 61
VBD, CC, VBP, 3
CD, JJS, VBG, 1
CD, VB, IN, 1
WP, JJ, MD, 1
RB, NNS, VBD, 17
WP, NN, RP, 1
WP$, NNS, VBD, 12
NN, WP, NN, 27
NNS, VBG, MD, 1
VBP, VBP, DT, 10
NN, JJS, RB, 7
TO, NN, NN, 81
-NONE-, RP, TO, 1
NNS, NNS, VBD, 50
VBP, TO, WDT, 1
VBZ, CD, WP, 2
VBG, NNS, JJR, 4
VBP, RP, PRP$, 6
WDT, VBD, JJ, 19
VBN, NN, CC, 127
IN, PRP, WDT, 4
IN, PRP, JJR, 19
VBD, NN, WP, 10
DT, MD, CC, 5
EX, VBP, RB, 33
PRP, TO, NNS, 6
CC, PRP, VBZ, 171
WRB, CD, JJ, 4
DT, JJS, VBD, 7
VBD, PRP$, RB, 4
VBP, CD, CC, 9
DT, DT, PRP, 2
VBD, JJ, RB, 62
VBG, IN, VBG, 29
VBN, DT, DT, 18
JJS, NN, PRP, 12
VBP, IN, CD, 20
NN, WP, VBP, 9
CD, WP, VBD, 6
CC, WRB, DT, 32
WP, CC, VBP, 1
JJ, WP, VBZ, 2
CC, VBP, DT, 18
IN, NNP, JJ, 11
CD, CC, VBZ, 1
VB, VBZ, DT, 5
NN, RBS, JJ, 1
CC, IN, WP, 15
VBN, WP, PRP$, 1
NN, NNS, JJ, 110
VB, VB, JJR, 2
CC, JJR, MD, 3
NNP, MD, VBD, 1
DT, NNP, PRP, 1
VBN, CC, WDT, 7
VB, NNS, CC, 57
TO, VB, NNP, 17
VB, PRP, CD, 3
MD, NNS, VBD, 3
RBR, MD, VB, 4
NN, EX, JJ, 3
JJS, JJS, RB, 1
NNS, VBN, IN, 216
CD, IN, JJR, 1
JJR, DT, NNS, 4
IN, WDT, CD, 6
NNS, RB, JJR, 4
JJ, VBZ, TO, 7
VBP, CC, VBZ, 1
VBZ, IN, VBP, 1
JJ, VBN, TO, 10
DT, VB, NN, 2
IN, NNP, PRP$, 3
VBP, VBZ, RB, 14
NNS, VBG, CC, 23
PRP, RB, RB, 246
RB, TO, VBD, 1
VBG, PRP$, JJS, 1
VBP, JJ, NN, 163
VBG, IN, NNS, 92
VB, WRB, CC, 2
PRP, IN, PRP, 224
VB, VBD, JJ, 11
NN, VBZ, WDT, 7
DT, WRB, CD, 1
MD, VB, VBN, 1393
VBD, TO, CC, 4
WRB, NNS, VBP, 29
VBP, NNP, RB, 1
VBD, VBG, VBN, 44
JJR, CC, DT, 6
JJ, WDT, PRP, 4
IN, IN, CD, 31
VBG, JJR, PRP, 1
VBZ, WRB, DT, 12
NNS, CC, EX, 15
VB, JJS, NNS, 2
JJ, PRP, VBD, 206
VBD, CC, VBG, 15
VBN, RBR, NNS, 2
VBP, DT, VBG, 17
VBN, PRP$, CC, 2
NN, PRP$, VBN, 4
EX, IN, WDT, 1
RB, CD, MD, 5
RB, MD, RB, 37
VBG, VBG, NNS, 3
IN, NNS, VBG, 93
VB, PRP$, TO, 5
NNP, NNP, NNS, 6
VBZ, VBZ, PRP, 1
PRP, TO, JJ, 13
IN, VBG, VBZ, 7
DT, JJS, MD, 2
RB, PRP, WP, 2
DT, VBN, RB, 11
PRP$, CC, WRB, 1
TO, WP, NNP, 1
NN, NNP, NN, 176
NN, VBP, VBG, 16
NNS, JJS, NNS, 1
WRB, PRP$, NNS, 16
TO, JJS, JJ, 2
RB, VBG, DT, 151
NNS, DT, JJ, 257
RBR, MD, RB, 1
VBZ, WRB, RB, 3
JJ, EX, MD, 1
IN, JJS, JJ, 33
RP, NN, NNS, 3
CC, DT, VBD, 33
IN, WRB, JJR, 1
DT, IN, JJS, 2
VBP, RB, VBZ, 9
VBZ, VB, VBZ, 1
JJR, NN, NNS, 48
NN, NN, WP$, 7
NNP, RB, VBP, 1
JJS, IN, PRP, 29
RB, CC, WP, 3
RB, MD, TO, 1
CC, MD, PRP$, 2
NNP, NN, WP$, 1
NN, JJR, IN, 34
PRP, MD, NN, 1
NNP, VBZ, JJR, 1
VBZ, RB, RBR, 27
JJS, JJ, NNS, 39
RB, CC, JJR, 3
NNP, VBP, NNP, 1
NN, JJ, WDT, 1
RB, VBD, DT, 272
RP, DT, RB, 3
IN, PRP$, VBD, 4
DT, WDT, NN, 7
DT, VBZ, JJR, 3
CC, CD, WDT, 3
VBN, VBD, CD, 1
JJ, JJS, JJ, 5
NNS, RBR, NN, 2
VBD, RB, IN, 465
NN, TO, VBG, 10
JJ, JJS, NNS, 3
RB, VBZ, JJR, 5
CC, VB, PRP, 90
IN, CD, DT, 22
RB, VBN, TO, 234
NNP, VBP, VBZ, 2
DT, NN, JJS, 18
PRP, CC, WRB, 3
NNS, JJ, WRB, 1
VBP, RP, CD, 3
CC, RB, VB, 79
NN, VBP, RB, 133
VBD, WP, RB, 3
IN, EX, VBP, 36
PRP$, CC, VBG, 1
VBD, JJR, IN, 25
VBN, JJR, DT, 1
WRB, VBN, CC, 3
WDT, JJ, JJ, 3
VBP, PRP, VBN, 26
VB, CD, PRP, 1
RBS, NN, IN, 1
TO, VB, RP, 314
VBG, DT, NN, 803
WP, VBP, JJS, 1
PRP$, RB, CC, 4
-NONE-, VBP, DT, 1
RB, VBP, EX, 5
VBG, NN, VBP, 8
JJS, IN, VBG, 1
CC, VBN, RP, 16
NN, WP, PRP, 41
RB, IN, NNP, 12
CD, MD, PRP, 1
NNS, VB, JJ, 11
NN, JJ, NNS, 217
RB, VB, JJR, 8
RB, TO, VB, 661
JJ, VB, VBG, 2
IN, NNS, VBN, 117
MD, VB, NNS, 116
PRP, WP, JJ, 2
PRP, IN, JJS, 9
RP, VBD, DT, 1
VBD, NNS, NNP, 2
WDT, CD, NNS, 2
VB, RB, VBP, 1
VBG, DT, JJ, 348
JJR, VBN, NN, 6
NNP, VBD, CC, 3
VBZ, WRB, JJ, 11
VBG, NN, VBN, 3
RB, IN, CD, 69
MD, JJ, DT, 1
DT, DT, NN, 232
PRP, NNS, TO, 3
NN, VBG, RP, 40
JJR, IN, NNP, 2
WRB, PRP, PRP, 1
VBZ, NNS, RB, 9
CC, VBZ, VBP, 1
RP, JJ, CD, 1
VBP, VBN, MD, 2
NN, WRB, NNS, 21
PRP, VBP, NNS, 81
CC, PRP, VB, 1
VBD, IN, VBZ, 1
VBD, NNP, NNP, 11
IN, CD, VBP, 1
VBD, PRP$, VBG, 1
VBD, DT, IN, 32
WRB, VBP, DT, 6
NNS, RB, IN, 273
NNS, CC, PRP$, 90
NNS, CC, JJS, 3
DT, RB, VBN, 107
VB, DT, NN, 2091
PRP, RB, NNS, 1
PRP, DT, NN, 312
JJR, NNS, VBP, 15
NNS, JJ, TO, 47
CD, CC, DT, 28
PRP, VBD, JJR, 51
WP, VBG, NN, 1
NN, CD, TO, 5
CD, JJR, CC, 1
CC, JJ, NN, 743
JJ, RB, MD, 1
IN, VBD, RB, 26
VBD, VBN, PRP$, 119
VBD, NN, WDT, 5
RBR, CC, DT, 2
PRP$, IN, VBG, 3
VBP, NNS, JJ, 8
RB, JJR, NNS, 13
VBG, VBP, RB, 2
DT, JJ, TO, 82
PRP, NNS, RB, 4
VBD, PRP, RB, 245
VBG, VBN, EX, 2
WP, IN, PRP, 10
RB, VBG, WRB, 6
MD, VB, NN, 298
CC, IN, EX, 12
NN, VBD, JJS, 8
JJR, JJR, JJ, 2
IN, JJS, PRP, 21
VBZ, VBG, WDT, 1
IN, VBP, PRP, 2
DT, NNP, CD, 2
VBZ, TO, RBR, 2
CC, NNS, MD, 29
WP, VBD, NN, 5
RB, VBG, JJR, 3
TO, PRP, NN, 10
NN, CC, VBP, 54
CD, VBZ, VB, 1
PRP, VBP, WDT, 1
NNS, VBD, NN, 88
VBG, VBG, VBG, 2
NN, PRP, WP$, 1
VBD, VBZ, NN, 2
NN, RB, WP, 19
RB, WP$, NNS, 1
NN, VBN, TO, 72
NNS, JJ, JJS, 1
JJR, VBD, JJR, 1
CC, WRB, CC, 1
JJR, DT, JJ, 7
EX, NNS, VBP, 1
VBP, CD, RBR, 1
CC, TO, VB, 180
VBN, JJR, CC, 3
RB, RP, DT, 2
WP, VBN, MD, 1
VB, PRP, RB, 143
NN, WDT, RB, 46
VBZ, NN, VBG, 10
RBS, VBG, RB, 1
RP, VBG, IN, 5
WDT, IN, CD, 2
JJ, IN, CC, 11
NNS, EX, VBP, 10
RBR, IN, WP, 2
VBG, RB, JJR, 5
NNS, TO, WDT, 7
IN, WRB, WP, 1
NNS, VBN, VBG, 8
TO, JJ, PRP$, 7
VBN, TO, WP, 6
WP, RB, JJ, 2
NNS, MD, DT, 8
PRP, VBD, -NONE-, 15
IN, JJS, VBG, 1
